lon,lat
85.32058135,27.78501074
85.34779217,27.93004093
85.32421848,27.78514622
85.28977329,27.93025411
85.3172989,27.78537097
85.3983391,27.93034422
85.31726031,27.78552458
85.09486191,27.93020852
85.18271942,27.7849965
85.34702825,27.93045308
85.39799508,27.93062111
85.32515968,27.78554294
85.13136736,27.93051724
85.32541143,27.7860339
85.33302858,27.93082635
85.27004387,27.78697438
85.23712965,27.78717255
85.3149886,27.930944
85.26689748,27.78742062
85.12456002,27.93105623
85.27281044,27.78757052
85.31500657,27.93128869
85.23885492,27.78809567
85.34385931,27.93134865
85.23598227,27.78833717
85.34861816,27.93152706
85.22430681,27.78868842
85.12679192,27.93150734
85.22433072,27.78883746
85.32194083,27.93156897
85.26607727,27.78906761
85.31456793,27.93171764
85.26971066,27.79050516
85.09541951,27.93168722
85.13788295,27.93264212
85.42118366,27.79131672
85.11981105,27.93294548
85.26961532,27.79160849
85.35047154,27.93406333
85.26692842,27.79168995
85.09936889,27.934273
85.2188661,27.79216715
85.28042067,27.7922477
85.36175797,27.93461195
85.27505201,27.79253889
85.37738038,27.9348884
85.21914665,27.79362083
85.09261419,27.9348692
85.21891789,27.79443317
85.38068786,27.93607499
85.22031556,27.79435269
85.09481067,27.93646655
85.22012372,27.79465965
85.09588011,27.93662255
85.32534701,27.93678808
85.25633474,27.79546019
