lon,lat
87.54915987,26.65842841
87.54918367,26.65824757
87.54931216,26.65817381
87.54916701,26.65798583
87.54917415,26.65787638
87.5492955,26.65789303
87.54943827,26.65789303
87.54956676,26.65792397
87.54971191,26.65793586
87.54973808,26.65785972
87.54952631,26.65783117
87.54944065,26.65781689
87.54922888,26.6576765
87.54933357,26.65768602
87.54960721,26.65773361
87.54974046,26.65773837
87.54974522,26.65767412
87.55042099,26.65787162
87.55052092,26.65772647
87.55102775,26.65798107
87.55110151,26.65797869
87.55118955,26.65798345
87.55132994,26.65800011
87.5494002,26.65763962
87.54947158,26.65763962
87.54960721,26.65766104
87.54992606,26.65759441
87.54935023,26.65751351
87.549493,26.65753254
87.54969049,26.65755634
87.54976901,26.657573
87.54978805,26.65748495
87.54971429,26.65747306
87.54963576,26.65745878
87.54950727,26.65743737
87.54943827,26.65743023
87.54937164,26.65742309
87.54929312,26.65740881
87.5493193,26.6573065
87.54947158,26.65732077
87.54958817,26.65735884
87.54979519,26.6573874
87.54953821,26.65726367
87.54932405,26.65722797
87.54947396,26.65713517
87.54961911,26.65715421
87.54981184,26.65719228
87.54984516,26.65709948
87.54967859,26.65708996
87.54949775,26.65704475
87.54942399,26.65704475
87.54931454,26.65692102
87.54917653,26.65689485
87.54918129,26.65682822
87.54942399,26.65686867
87.54958104,26.65695196
87.54970477,26.65697099
87.54977139,26.65698289
87.54984278,26.65699241
87.54980708,26.65691864
87.54976901,26.65680919
87.54987609,26.65682346
87.54994747,26.65732315
87.55004741,26.65740405
87.55019018,26.65724225
87.54998316,26.65720894
87.55007121,26.65714231
87.55014259,26.65713993
87.55026156,26.65715421
87.55001886,26.65700906
87.550095,26.65701144
87.55029725,26.65704713
87.55037102,26.65706855
87.55031153,26.65699003
87.55002124,26.65694958
87.55009976,26.65694006
87.55027346,26.65685202
87.55049713,26.65689723
87.55041385,26.65687581
87.55048999,26.65718276
87.55059945,26.65705903
87.55068511,26.65697813
87.55088498,26.65714231
87.55098016,26.65751827
87.55106582,26.65786329
